filename,category,document_id,subject,processed_date
Circular-No-242-2024.pdf,circulars,Circular No. 242/36/2024-GST,Clarification on place of supply of Online Services supplied by the suppliers of services to unregistered recipients,2025-12-18
Circular-No-243-2024.pdf,circulars,Circular No. 243/37/2024-GST,Clarification on various issues pertaining to GST treatment of vouchers,2025-12-18
Circular-No-248-05-2025.pdf,circulars,Circular No.  248/05/2025-GST,"Various issues related to availment of benefit of Section 128A of the CGST Act, 2017",2025-12-18
Circular-No-249-2025.pdf,circulars,Circular No. 249/06/2025-GST,Generation and quoting of Document Identiﬁcation Number (DIN) on any communication issued by the oﬃcers of the Central Board of Indirect Taxes and ...,2025-12-18
Circular-No-250-2025.pdf,circulars,Circular No. 250/07/2025-GST,"Reviewing authority, Revisional Authority and Appellate Authority in respect of orders passed by Common Adjudicating Authority (CAA) for show cause...",2025-12-18
Circular-No-254-11-2025-cgst-28102025.pdf,circulars,Circular No.  254/11/2025-GST,"Assigning proper officer under section 74A, section 75(2) and section 122 of the Central Goods and Services Tax Act, 2017 and the rules made thereu...",2025-12-18
corr-ctr09-2024.pdf,notifications,corr-ctr09-2024,"SECTION (i)] Government of India Ministry of Finance (Department of Revenue) CORRIGENDUM New Delhi, the 22 nd October, 2024 GSR......(E).- In the n...",2025-12-18
CTR-06-2024.pdf,notifications,NOTIFICATION No. 06/2024-Central,"SECTION (i)] GOVERNMENT OF INDIA MINISTRY OF FINANCE (Department of Revenue) NOTIFICATION No. 06/2024-Central Tax (Rate) New Delhi, the 8th October...",2025-12-18
CTR-08-2024.pdf,notifications,Notification No. 08/2024-,"SECTION (i)] Government of India Ministry of Finance (Department of Revenue) Notification No. 08/2024- Central Tax (Rate) New Delhi, the 8th Octobe...",2025-12-18
CTR-09-2024.pdf,notifications,Notification No. 09/2024-,"SECTION (i)] Government of India Ministry of Finance (Department of Revenue) Notification No. 09/2024- Central Tax (Rate) New Delhi, the 8th Octobe...",2025-12-18
download (1).pdf,notifications,download (1),"SECTION (i) OF THE GAZETTE OF INDIA, EXTRAORDINARY] GOVERNMENT OF INDIA MINISTRY OF FINANCE (Department of Revenue) Notification No.2/2017-Central ...",2025-12-18
download (2).pdf,notifications,Notification No. 11/2017-Central,"SECTION (i)] Government of India Ministry of Finance (Department of Revenue) Notification No. 11/2017-Central Tax (Rate) New Delhi, the 28th June, ...",2025-12-18
download (3).pdf,notifications,Notification No. 12/2017-,"SECTION (i)] Government of India Ministry of Finance (Department of Revenue) Notification No. 12/2017- Central Tax (Rate) New Delhi, the 28th June,...",2025-12-18
download.pdf,notifications,download,"SECTION (i) OF THE GAZETTE OF INDIA, EXTRAORDINARY] GOVERNMENT OF INDIA MINISTRY OF FINANCE (Department of Revenue) Notification No.1/2017-Central ...",2025-12-18
23-IGST-other-than-POS-Akashy-JAin-20211013111740.pdf,acts,23-IGST-other-than-POS-Akashy-JAin-20211013111740,"THE INTEGRATED GOODS AND SERVICE TAX ACT, 2017 Statement of Objects and Reasons:",2025-12-18
CGST-Act-Updated-30092020.pdf,acts,CGST-Act-Updated-30092020,"As on 30.09.2020 THE CENTRAL GOODS AND SERVICES TAX ACT, 2017 (12 OF",2025-12-18
IGST-bill-e.pdf,acts,IGST-bill-e,"THE INTEGRATED GOODS AND SERVICES TAX BILL, 2017 ——————",2025-12-18
